CID,GROUP,zHD,rvar_gal_cl,rvar_gal_tot,rvar_cl_cl,rvar_cl_tot,var_zp
1317666,X,0.14136,8.617730703131722e-10,1.436388401079456e-09,2.2224692623909214e-09,2.075319569739674e-09,3.9175936925643477e-10
1296657,X,0.14624,1.6438094925030871e-06,1.547628010142619e-06,5.24479006003365e-09,3.382107281255606e-09,4.4004353685213535e-10
1530193,X,0.14802,1.2654808056454638e-07,2.011784253854632e-07,1.5945888017379022e-08,7.030862136896616e-09,4.5835358505499357e-10
1277173,X,0.1494,2.981748887223122e-07,2.1551358877655803e-06,3.565226393713953e-12,2.7584373630135647e-12,4.728058493190088e-10
1247420,X,0.15026,5.182435143710362e-09,2.6134956189327757e-08,6.490611809785419e-13,1.1882823136618582e-12,4.819257900816454e-10
1317164,X,0.15459,1.679334737822653e-06,1.63391250741639e-06,2.6615090156119442e-12,5.588251808583031e-13,5.291671832858985e-10
1770639,X,0.17623,1.682752909583013e-09,5.895930211432865e-09,5.050849361384765e-09,8.035651461900795e-09,7.990631228828674e-10
1298893,X,0.19616,4.4592389740492437e-08,5.85922439033085e-08,5.475325553724481e-10,1.2049581319238464e-09,1.1092107740767791e-09
1334620,X,0.19624,1.7395027291223175e-08,2.9439969516751313e-08,7.300580836780266e-10,1.0548472034471855e-09,1.1105579772468582e-09
1922067,X,0.19771,8.618127015796182e-09,3.7970790257153726e-08,4.08869105691067e-11,2.2753537308113116e-11,1.1354583805895723e-09
1309013,X,0.2126,8.717947738515528e-09,1.9923923372186772e-08,1.6899512959083895e-09,3.618479976117038e-09,1.4032414402095331e-09
1292805,X,0.21415,3.1789522116111874e-08,3.0109509047246907e-06,1.182656307563608e-10,1.3891233526100268e-10,1.4327445042688694e-09
1282114,X,0.21781,1.0555969697068917e-07,4.353187598340789e-07,2.470515022851403e-09,6.932660271783086e-10,1.5036278601506167e-09
1295062,X,0.21839,4.397689933006127e-08,4.713103755789054e-07,5.126401092944847e-10,4.0916879198762064e-10,1.5150178294557266e-09
1250912,X,0.21898,1.3560662772040065e-07,1.1765931339077437e-07,1.1390418968275051e-09,1.657828794845974e-09,1.5266482722428711e-09
1292560,X,0.22482,9.038894570752588e-07,1.4097791306729466e-06,3.1317353638730255e-10,1.2643358388155208e-10,1.644168623414688e-09
1248039,X,0.22566,1.246122457103766e-09,1.107017420400316e-08,1.1468805686819311e-08,2.339826027191241e-08,1.667588713796317e-09
1288083,X,0.23048,3.4433882164396156e-08,4.90256360304211e-08,2.0558345067385534e-09,1.0364778699045555e-09,1.8152271074535287e-09
1291149,X,0.23057,1.110564950603594e-09,5.950428406138004e-09,4.896020662093944e-09,9.623781473895861e-09,1.8180433884097087e-09
1262746,X,0.23079,8.0795924054097e-10,2.828302772207929e-09,1.053867624327473e-09,8.635481179975072e-10,1.8249368209199003e-09
1310367,X,0.23332,1.918733765610847e-09,6.69346949874548e-08,1.0028844023130317e-05,1.3577705513618705e-05,1.9051488405820655e-09
1336687,X,0.2338,3.9380343175275834e-07,6.043115773980004e-07,1.2486409609767908e-09,2.355124101873048e-09,1.920561622776601e-09
1279500,X,0.2347,3.1291082650104047e-10,1.5726914249035758e-07,2.1978255979180005e-08,2.1933307240883376e-08,1.9496279529388683e-09
1317277,X,0.2371,2.527804352359802e-09,3.190268252812403e-09,5.1891996132247636e-08,5.2170601755052355e-08,2.028205412510631e-09
1373042,X,0.2372,7.441550283483305e-07,5.100363070127171e-06,1.5583862464008384e-09,2.519707909682082e-09,2.0315131616407282e-09
1434248,X,0.23734,4.413949663632819e-09,3.2195266985931604e-08,1.0603334053500506e-09,4.58388410124948e-10,2.0361485381325107e-09
1840041,X,0.23891,3.721013101654311e-09,2.411389666138759e-08,3.8044942401081326e-10,7.414040091375255e-10,2.0884927465758095e-09
1319711,X,0.24171,2.8260745549441522e-08,6.386067031308263e-08,8.242039224482703e-09,1.817675195117996e-08,2.183494315880142e-09
1334645,X,0.24701,3.3112675137461e-07,9.61873244497448e-07,1.3045639989463857e-06,2.921609212716187e-06,2.369103672304979e-09
1901059,X,0.25126,1.6706059606418184e-09,6.136850661635422e-09,1.988900362483331e-09,2.2192986847963694e-09,2.523410661654026e-09
1367234,X,0.25173,4.9016906245539834e-09,1.40659230287421e-08,4.779107060216962e-09,6.055733122812879e-09,2.540774135928229e-09
1305276,X,0.25286,4.543240901692772e-11,1.0101343289871198e-09,1.4600196561453272e-10,2.0913279332202954e-10,2.582763995202275e-09
1262726,X,0.25378,4.91963695224952e-08,9.441733610206705e-08,7.65830376257048e-06,7.722946501502766e-06,2.617204573946695e-09
1373028,X,0.25517,8.256025096433312e-07,1.2374215990885926e-06,3.338040348713774e-07,3.180774144759505e-07,2.669672475417651e-09
1297026,X,0.25854,1.3230668408767356e-08,1.458606997691399e-07,1.7569265847247416e-09,3.630839062635324e-09,2.799040430435192e-09
1697026,X,0.26046,1.4105886568201128e-08,9.395161576413068e-08,4.893228808880915e-07,4.591480635260786e-07,2.8741142773846958e-09
1373040,X,0.26162,4.252795395686703e-08,5.206550831011604e-07,9.540546991168128e-09,1.0793302855075976e-08,2.9199528396919735e-09
1910132,X,0.26271,5.5726653342136994e-09,1.835576866577662e-07,8.414736235567075e-09,1.4210686127319162e-08,2.963355764226242e-09
1434201,X,0.26317,2.261679544302374e-09,1.3275038270537066e-08,5.0316410616853394e-06,4.208658224897354e-06,2.9817686738366215e-09
1892103,X,0.26584,6.29227607901234e-07,4.732011982600574e-06,2.59690931294066e-08,2.0136616362570657e-08,3.089769752163326e-09
1366690,X,0.27119,3.381787532484912e-06,6.753046672537274e-06,7.246435860153959e-08,3.92416858437569e-08,3.311958265296739e-09
1278493,X,0.27237,4.3836945488389936e-08,7.288956418690386e-08,8.598952686925371e-09,1.0839634063832178e-08,3.362002657632879e-09
1368133,X,0.27618,1.7151919308002574e-07,2.835431114833492e-07,1.0689642497589302e-06,1.2303377664263853e-06,3.544222048577505e-09
1792093,X,0.27659,1.2150029764077987e-06,1.2684568194841443e-06,1.816724402745315e-08,3.525499116331249e-08,3.5684714196608252e-09
1503024,X,0.27694,3.247129657839899e-07,5.682856765417946e-07,3.9364612108174866e-08,3.53657270432313e-08,3.58923751348317e-09
1291242,X,0.27905,2.8013360894693542e-08,1.3879266990358712e-07,7.487020058977284e-09,5.649088779154703e-09,3.715703796872659e-09
1255576,X,0.2801,6.532404384055135e-08,5.516117649827784e-07,1.7451606315755732e-10,1.5709946129745808e-10,3.779453173970412e-09
1248084,X,0.28063,1.5760653654006477e-08,1.4806357465717709e-06,1.2845254877838097e-07,1.1028241953861838e-07,3.81183735327932e-09
1312897,X,0.28578,5.462342066279825e-09,3.3774683595119464e-08,2.376488026541311e-10,5.138585129381682e-10,4.133707076344352e-09
1334644,X,0.28805,2.0106544339962613e-09,1.2468912807487357e-08,9.190186923917315e-10,8.705543159615793e-10,4.279721655854735e-09
1313594,X,0.28834,5.933117190805338e-07,1.4787246724450494e-06,5.2908324938766996e-08,4.8324125474251855e-08,4.298558061972425e-09
1457045,X,0.28848,2.7203740156511945e-08,7.32270557136601e-07,1.1148316449819214e-06,1.0778284415492943e-06,4.307666302993793e-09
1334597,X,0.28895,2.523354980535355e-08,8.428753066420007e-08,4.5585662353153434e-08,1.0633445897389468e-07,4.338314470740093e-09
1861178,X,0.29093,1.2909650997314628e-07,2.104635950220257e-07,6.454570272214076e-08,9.5304496400785e-08,4.468620922040945e-09
1340706,X,0.29323,4.478533858770858e-09,3.9226200228078855e-08,2.180212841623422e-09,1.247782239526616e-09,4.622407707710303e-09
1266255,X,0.29358,1.1379662497440925e-07,2.752773459886236e-07,8.58005767313698e-07,1.784752533632331e-06,4.6460381231539596e-09
1256680,X,0.29438,4.48234664270882e-07,1.2884355587519563e-06,8.663142659300584e-10,1.683166481249257e-09,4.7002767355062815e-09
1250665,X,0.29461,8.446376699734746e-09,2.4776769490901316e-08,8.240730370750323e-06,9.381989154624844e-06,4.715928591862282e-09
1310432,X,0.29471,7.728400408071243e-07,1.727396005021321e-06,0.000163840353284,0.0001673353260237,4.722741861721956e-09
1299503,X,0.29498,6.328293476138295e-10,2.686957620553549e-09,1.051204851632496e-05,2.030959967405581e-05,4.7411622564259126e-09
1300703,X,0.29571,5.549726964691814e-09,4.120519061999518e-08,1.956296018301813e-07,1.8338538991905675e-07,4.791145057724569e-09
1295436,X,0.29584,4.662965877755341e-09,1.8357012401193652e-08,1.3325173642157364e-06,2.0913568855245533e-06,4.80007359690368e-09
1293319,X,0.29686,1.4376979370226852e-08,2.8111011497149544e-08,2.3958631980272092e-09,5.705680262467126e-09,4.870416737523316e-09
