CID,FIELD,zHD,kappa_ext,hr,gamma,dmu_pred
1260954,E2,0.69873,0.0956674972508812,-0.0528684070725864,0.0105390022724314,-0.2206147109260937
1316989,X1,0.55343,0.0849080098422241,-0.291440672816987,0.0045261885701981,-0.1939632358953516
1879483,X3,0.87565,0.0831318931545964,-0.2135690792089598,0.0399654065087794,-0.1927228320138822
1255169,C3,1.0468,0.0758799244656602,-0.190454610575016,0.0398975669555188,-0.1757427376623859
1339232,C3,0.96859,0.06749986835194,-0.2602983859685407,0.016209123005554,-0.1538703163219234
1450127,X3,0.60009,0.0660378816885494,0.0012372047314513,0.0328660801558548,-0.1506509983961294
1337703,C1,0.53225,0.0645516605343281,-0.3386469924089804,0.011113973754673,-0.1458182875128587
1915087,E2,0.56104,0.0644166572917772,-0.0163052843857064,0.0251391158867569,-0.1462346228544074
1310916,C2,0.67923,0.0638987462570877,-0.278966515641847,0.033969702745178,-0.1459520737017975
1299746,C2,0.36571,0.0637037415548941,-0.03358136388145,0.0256279684601262,-0.1441722319325341
