CID,compilation,zHD,kappa_ext,gamma,dmu_pred,hr
1260954,DES-SN5YR,0.69873,0.096484829135712,0.0113899511339041,-0.2226181567169691,-0.0528684070725864
1316989,DES-SN5YR,0.55343,0.0849896900527259,0.0043997920572042,-0.1941327636043269,-0.291440672816987
psc160214,Union3,0.630615384567361,0.0804029451745653,0.0067581802863225,-0.1832120006657268,-0.4176429028790642
CLF11Ves,Union3,1.206,0.0787055797625748,0.0497508669569571,-0.1830232656803713,0.33288942785671
1255169,DES-SN5YR,1.0468,0.074511144385603,0.0398741500562314,-0.1724113224133853,-0.190454610575016
05D2eb,Union3,0.5357823092612091,0.0675810360839071,0.0289801083125811,-0.1540092200455978,-0.0847704404851886
1339232,DES-SN5YR,0.96859,0.0675423641427697,0.017154232993829,-0.153979546931191,-0.2602983859685407
1337703,DES-SN5YR,0.53225,0.0646188938641361,0.011113973754673,-0.1459668335005944,-0.3386469924089804
1310916,DES-SN5YR,0.67923,0.0640284638792685,0.0339394436901018,-0.1462389769326391,-0.278966515641847
1915087,DES-SN5YR,0.56104,0.0639482323019376,0.0247141479936052,-0.1450976161295986,-0.0163052843857064
1299746,DES-SN5YR,0.36571,0.0637268610389656,0.0256279684601262,-0.144222845863437,-0.03358136388145
01337703,Union3,0.5334428191518148,0.0635628115903078,0.0111780649044266,-0.1435741456648395,-0.3232283795092546
1337703,Pantheon+,0.53225,0.0630235707223446,0.0111912630132253,-0.1424019037852232,-0.2769037141929183
1537077,DES-SN5YR,0.7445,0.0603257639327343,0.0075500777759558,-0.1362419700884594,-0.202260027659902
1450127,DES-SN5YR,0.60009,0.0599728125282713,0.0266456193605234,-0.1359762192019797,0.0012372047314513
