CID,sample,row_index,region,zHD,MU,MUERR,PROBIA,HOST_RA,HOST_DEC,HOST_LOGMASS,clipped,cluster_targeted,cluster_tier_ok,kappa_raw,kappa_ext,kappa_gal_ext,kappa_cl_ext,gamma,dmu_pred,zbin,rand_mean,rand_sig,n_rand_ok,area_frac,area_flag,frac_nir,hr
000014,PS1MD,793,12,0.13614,19.7241,0.204855,1.0,35.878,-4.6363,,False,False,True,0.0021757949292169005,0.0016713191599338722,0.0018470450049335434,-0.00017572584499967123,0.000538546896134959,-0.0036533094158409424,0.125,0.0005044757692830282,0.0003849872253640185,493,1.0,False,0.947535052012664,0.027832544364582115
340229,PS1MD,807,12,0.14123,19.7877,0.210706,1.0,35.879,-2.8604,,False,False,True,0.0007533295867829925,0.0002130596089509767,-0.0003240100187420559,0.0005370696276930327,0.0024841857420196418,-0.00046684627997142596,0.125,0.0005402699778320158,0.0004202344398892603,493,1.0,False,0.0,0.00515190906463321
1317666,DES,808,12,0.14134,19.8707,0.259463,1.0,36.7711,-5.0031,,False,False,True,0.00047070882518313186,-7.033470136015872e-05,-0.0003045385985196172,0.00023420389715945853,0.0003237078061598754,0.00015257883798153855,0.125,0.0005410435265432906,0.00042099616751161323,493,1.0,False,0.9580008399832003,0.08631972340854706
1296657,DES,815,12,0.14638,19.9327,0.205643,1.0,36.2552,-6.2786,,False,False,True,0.004128935075662515,0.0035524489536208157,0.0037525756151508987,-0.00020012666153008274,0.0032369389937731336,-0.007743033169948175,0.125,0.0005764861220416988,0.00045589714220851295,493,1.0,False,0.0,0.0657752435199301
000038,PS1MD,826,12,0.1505,19.8528,0.167881,1.0,35.0957,-4.6725,,False,False,True,0.002035489330068171,0.001430030292658726,0.0016353752825727435,-0.00020534498991401766,0.004439774959664707,-0.0031172943842997904,0.17500000000000004,0.000605459037409445,0.00048442730406391494,493,1.0,False,0.9887029288702929,-0.03453534213651648
440042,PS1MD,840,12,0.15921,20.1737,0.282399,1.0,35.9021,-3.294,,False,False,True,3.690985842525374e-05,-0.0006298001723951309,-0.00039910100343485474,-0.00023069916896027595,0.00023824217893629945,0.0013739628924927523,0.17500000000000004,0.0006667100308203846,0.0005447422821611362,493,1.0,False,0.0,0.1532056448823464
310039,PS1MD,861,12,0.17169,20.2073,0.21301,1.0,36.2156,-3.3448,,False,False,True,0.00015186590397342083,-0.0006026067442715936,-0.0003963047703096509,-0.00020630197396194255,0.0006248017091701291,0.0013157261922435164,0.17500000000000004,0.0007544726482450144,0.000631163743315364,493,1.0,False,0.0,0.00742408253264943
330023,PS1MD,890,12,0.18078,20.4636,0.177112,1.0,35.7981,-2.7801,,False,False,True,0.0006958489886477687,-0.00014829793412304447,-0.0005120905665446905,0.0003637926324216461,0.002389255361832698,0.00032425804263542125,0.17500000000000004,0.0008441469227708131,0.0007089497120725694,493,1.0,False,0.0,0.1405747719995833
1298893,DES,934,12,0.19627,20.5867,0.253215,1.0,35.724,-6.2568,,False,False,True,0.0024338062357373885,0.0014117186332010842,-0.00023114158685853678,0.001642860220059621,0.0022219985484891107,-0.0030692648299185067,0.17500000000000004,0.0010220876025363044,0.0008559838260783629,493,1.0,False,0.0,0.06653232016581428
1334620,DES,935,12,0.19635,20.6397,0.292175,1.0,35.7529,-6.2642,,False,False,True,0.001931900406126747,0.0009088938071810664,-0.0004413273116769048,0.0013502211188579712,0.0006805353395326664,-0.0019764384138677114,0.17500000000000004,0.0010230065989456807,0.0008567432017478569,493,1.0,False,0.0,0.11855227292346443
