CID,sample,row_index,region,zHD,MU,MUERR,PROBIA,HOST_RA,HOST_DEC,HOST_LOGMASS,clipped,cluster_targeted,cluster_tier_ok,kappa_raw,kappa_ext,kappa_gal_ext,kappa_cl_ext,gamma,dmu_pred,zbin,rand_mean,rand_sig,n_rand_ok,area_frac,area_flag,frac_nir,hr
000014,PS1MD,793,12,0.13614,19.7241,0.204855,1.0,35.878,-4.6363,,False,False,True,0.002212895769518687,0.0016951847520996987,0.00187091059709937,-0.00017572584499967123,0.000595351400649845,-0.0037054797687907965,0.125,0.0005177110174189881,0.00041670085725969817,493,1.0,False,0.947535052012664,0.027832544364582115
340229,PS1MD,807,12,0.14123,19.7877,0.210706,1.0,35.879,-2.8604,,False,False,True,0.0007533295867829925,0.00020071220406907243,-0.00033635742362396026,0.0005370696276930327,0.0024841857420196418,-0.00044011833483483627,0.125,0.0005526173827139201,0.00045432321772645635,493,1.0,False,0.0,0.00515190906463321
1317666,DES,808,12,0.14134,19.8707,0.259463,1.0,36.7711,-5.0031,,False,False,True,0.0005181272152688762,-3.524452897401089e-05,-0.0002694484261334695,0.00023420389715945853,0.0002482753939914722,7.570802456384105e-05,0.125,0.0005533717442428871,0.0004551362746324177,493,1.0,False,0.9580008399832003,0.08631972340854706
1296657,DES,815,12,0.14638,19.9327,0.205643,1.0,36.2552,-6.2786,,False,False,True,0.004128935075662515,0.0035409998577287712,0.003741126519258854,-0.00020012666153008274,0.0032369389937731336,-0.007718286438226122,0.125,0.0005879352179337434,0.0004923890637782846,493,1.0,False,0.0,0.0657752435199301
000038,PS1MD,826,12,0.1505,19.8528,0.167881,1.0,35.0957,-4.6725,,False,False,True,0.002719820251023593,0.002103630764913991,0.0023089757548280087,-0.00020534498991401766,0.004736763957646768,-0.004585845054663524,0.17500000000000004,0.0006161894861096018,0.000522841740619747,493,1.0,False,0.9887029288702929,-0.03453534213651648
440042,PS1MD,840,12,0.15921,20.1737,0.282399,1.0,35.9021,-3.294,,False,False,True,3.690985842525374e-05,-0.0006390113451143792,-0.0004083121761541032,-0.00023069916896027595,0.00023824217893629945,0.0013937739022519917,0.17500000000000004,0.000675921203539633,0.0005872210647190525,493,1.0,False,0.0,0.1532056448823464
310039,PS1MD,861,12,0.17169,20.2073,0.21301,1.0,36.2156,-3.3448,,False,False,True,0.00015186590397342083,-0.0006096410439435703,-0.00040333906998162754,-0.00020630197396194255,0.0006248017091701291,0.001330736125611803,0.17500000000000004,0.0007615069479169911,0.0006794660664135798,493,1.0,False,0.0,0.00742408253264943
330023,PS1MD,890,12,0.18078,20.4636,0.177112,1.0,35.7981,-2.7801,,False,False,True,0.0006958489886477687,-0.00015490007932516484,-0.0005186927117468106,0.0003637926324216461,0.002389255361832698,0.00033827455776923765,0.17500000000000004,0.0008507490679729335,0.0007496538827402923,493,1.0,False,0.0,0.1405747719995833
1298893,DES,934,12,0.19627,20.5867,0.253215,1.0,35.724,-6.2568,,False,False,True,0.0024338062357373885,0.0014047273478741238,-0.0002381328721854971,0.001642860220059621,0.0022219985484891107,-0.0030544980837724544,0.17500000000000004,0.0010290788878632648,0.0008721862008628535,493,1.0,False,0.0,0.06653232016581428
1334620,DES,935,12,0.19635,20.6397,0.292175,1.0,35.7529,-6.2642,,False,False,True,0.001931900406126747,0.0009019005120923251,-0.00044832060676564607,0.0013502211188579712,0.0006805353395326664,-0.0019616677930618153,0.17500000000000004,0.001029999894034422,0.0008728190340100326,493,1.0,False,0.0,0.11855227292346443
550154,PS1MD,973,12,0.21015,20.8949,0.146409,1.0,36.3556,-3.5962,,False,False,True,0.0008251244839516226,-0.00036374897460743295,9.628750515701368e-06,-0.0003733777251231343,0.0006808818380154652,0.0008033503314438476,0.22500000000000003,0.0011888734585590555,0.0009819827518984345,493,1.0,False,0.0,0.20510012441318104
1292560,DES,1015,12,0.22493,20.8596,0.158331,1.0,35.0558,-5.3611,,False,False,True,0.001327286278803935,-3.174306987643069e-05,0.0004942042049045448,-0.0005259472747809756,0.0034830784305961604,7.196958311200168e-05,0.22500000000000003,0.0013590293486803657,0.001098898675839781,493,1.0,False,0.8338068181818182,0.005151574501591875
1336687,DES,1038,12,0.23391,20.9258,0.290889,1.0,35.6058,-6.1499,,False,False,True,0.0013086840997536095,-0.00016760591118269736,0.00032608662004376065,-0.0004936925312264581,0.004495420245341034,0.0003580848262834018,0.22500000000000003,0.0014762900109363069,0.0011846446367403066,493,1.0,False,0.0,-0.023849272732044176
1279500,DES,1041,12,0.23481,21.0254,0.165515,1.0,36.9257,-4.3149,,False,False,True,0.0013255937658988863,-0.00016245935431582234,0.00019103927032680505,-0.0003534986246426273,0.0017189001971832623,0.0003633761066043585,0.22500000000000003,0.0014880531202147087,0.0011932499126894726,493,1.0,False,0.9629798903107861,0.06639707738460665
1317277,DES,1050,12,0.23721,20.9715,0.202153,1.0,35.9031,-5.4815,,False,False,True,0.0002957548737255464,-0.001223666537898234,-0.0008968203285160749,-0.0003268462093821591,0.0007072937549632769,0.002675984250097363,0.22500000000000003,0.0015194214116237804,0.0012161973152205823,493,1.0,False,0.7526289434151227,-0.012284498787306638
1334645,DES,1076,12,0.24711,20.9453,0.134755,1.0,36.3796,-5.879,,False,False,True,0.004110810659022152,0.002461995045335951,-0.00030277786336858274,0.0027647729087045343,0.004774593071126824,-0.005356417781872495,0.22500000000000003,0.0016488156136862011,0.0013108553506614093,493,1.0,False,0.0,-0.1383124415506395
120585,PS1MD,1083,12,0.24909,21.0637,0.165166,1.0,35.7735,-3.6103,,False,False,True,0.00011396255760614641,-0.001560731896492539,-0.0009461074400994953,-0.0006146244563930435,0.0009975212912648045,0.0034132603723404987,0.22500000000000003,0.0016746944540986853,0.0013297869577495746,493,1.0,False,0.0,-0.03943250097938111
000034,PS1MD,1096,12,0.2533,21.1158,0.154711,1.0,36.0664,-3.1865,,False,False,True,0.00037034375783385966,-0.0013593759074449058,-0.0009454665923638092,-0.0004139093150810966,0.0012199202878542604,0.0029775023461010323,0.275,0.0017297196652787655,0.0013700405263562293,493,1.0,False,0.0,-0.049821040880525386
1297026,DES,1108,12,0.25865,21.257,0.147331,1.0,35.821,-5.1821,,False,False,True,0.0003748983229559781,-0.0014247464919221755,-0.000795504455678143,-0.0006292420362440326,0.0025792072570214285,0.0031173544732675884,0.275,0.0017996448148781537,0.0014211941111651606,493,1.0,False,0.9970014992503748,0.04013830246697295
330022,PS1MD,1127,12,0.26397,21.0505,0.204064,1.0,35.3241,-2.9491,,False,False,True,0.010046551438260123,0.008177373577425194,0.0088560205264627,-0.0006786469490375076,0.016591719437078586,-0.018103839104335002,0.275,0.0018691778608349292,0.0014720608534424537,493,1.0,False,0.0,-0.216351067848466
1317286,DES,1161,12,0.28207,21.3456,0.164427,1.0,36.0079,-6.8106,,False,False,True,0.0007589620190985943,-0.0013836404618953221,-0.000987952660480832,-0.00039568780141449025,0.0016655445106409932,0.0030337787955839004,0.275,0.0021426024809939165,0.0016424643184339807,493,1.0,False,0.0,-0.08461273618926954
310238,PS1MD,1164,12,0.28405,21.3205,0.151751,1.0,35.5268,-3.2333,,False,False,True,0.0002443101022843596,-0.0019344928225801515,-0.0011155910288621713,-0.00081890179371798,0.0006055079787396928,0.004238526655936954,0.275,0.002178802924864511,0.0016606514803152767,493,1.0,False,0.0,-0.12699021334370117
1334644,DES,1174,12,0.28814,21.4545,0.186062,1.0,35.1072,-5.7725,,False,False,True,0.006455201573011154,0.00420162096358567,0.005062795404080257,-0.0008611744404945871,0.0004612193809714922,-0.00927118753830106,0.275,0.002253580609425484,0.0016982199106660334,493,1.0,False,0.010158472165786265,-0.028329418846231826
1313594,DES,1175,12,0.28844,21.496,0.135178,1.0,34.8329,-5.7894,,False,False,True,0.0028079626604505716,0.0005488971352871196,0.0009825581093574288,-0.0004336609740703096,0.0016355158251541643,-0.0011606923495987957,0.275,0.002259065525163452,0.0017009755412541083,493,1.0,False,0.015157722244981565,0.010596773036981508
1334597,DES,1179,12,0.28905,21.4233,0.165869,1.0,35.8313,-4.0678,,False,False,True,0.003012900148174744,0.0007426819610107556,0.0012139163511334012,-0.0004712343901226458,0.0026881083862200558,-0.0016068050933292673,0.275,0.0022702181871639884,0.0017065786567831943,493,1.0,False,0.44501278772378516,-0.06732900533205396
570056,PS1MD,1183,12,0.29008,21.4768,0.232933,1.0,37.0067,-3.495,,False,False,True,0.0018574480301833032,-0.0004316017010143787,0.0004354394540814427,-0.0008670411550958214,0.0015904817481382073,0.0009744405628944021,0.275,0.002289049731197682,0.0017160396551355855,493,1.0,False,0.0,-0.022629737407561103
1303004,DES,1195,12,0.29504,21.509,0.171668,1.0,35.2946,-6.4631,,False,False,True,0.0014649653890937133,-0.0009147682823050516,6.450671192702838e-06,-0.0009212189534977545,0.0023608375752318736,0.00202091378525252,0.275,0.002379733671398765,0.0017615994141917607,493,1.0,False,0.0,-0.03240912699564022
1293319,DES,1200,12,0.29695,21.4975,0.208762,1.0,36.0024,-6.4977,,False,False,True,0.00031073903290909486,-0.0021039152686880705,-0.0012076640807342333,-0.0008962511879538373,0.0024388119965864964,0.004609091182549854,0.275,0.0024146543015971652,0.001779143595602505,493,1.0,False,0.0,-0.05990058244093718
1339002,DES,1213,12,0.30304,21.5674,0.273372,1.0,35.8305,-6.5263,,False,False,True,0.0025992220442850253,7.322395320709515e-05,0.0010389329874637798,-0.0009657090342566843,0.0029762586683874455,-0.00012367690548828903,0.32500000000000007,0.00252599809107793,0.001835082896540429,493,1.0,False,0.0,-0.05550399575764957
1287626,DES,1216,12,0.30404,21.466,0.220442,1.0,35.9318,-5.9612,,False,False,True,0.0005016199143666685,-0.002042661229171157,-0.0012057880851462468,-0.0008368731440249104,0.0027290055401402395,0.0044790347335554965,0.32500000000000007,0.0025442811435378255,0.0018442683318340126,493,1.0,False,0.0,-0.1650836615299865
1259412,DES,1219,12,0.30486,21.6488,0.137489,1.0,36.3454,-5.3241,,False,False,True,0.0019464527358030144,-0.0006128205107519265,-0.00020282597961921995,-0.0004099945311327065,0.004175364346113453,0.0013633595571645495,0.32500000000000007,0.002559273246554941,0.0018518003887747518,493,1.0,False,0.8994881340158213,0.011027573806519933
1300516,DES,1234,12,0.31052,21.3667,0.335336,1.0,34.5464,-5.0101,,False,False,True,0.00038990036284956023,-0.0022728549606283906,-0.0012236256440939972,-0.0010492293165343936,0.0011363668349163325,0.004989799026516662,0.32500000000000007,0.0026627553234779507,0.0019037899525364348,493,1.0,False,0.8908400569530137,-0.31679213300963754
1337838,DES,1239,12,0.31203,21.6973,0.158158,1.0,35.496,-6.4982,,False,False,True,0.0010688393746319182,-0.0016215233580604742,-0.0005720054259462932,-0.001049517932114181,0.002558324875103676,0.0035688677475141494,0.32500000000000007,0.0026903627326923924,0.0019176599598297456,493,1.0,False,0.0,0.0017409434054699996
1294743,DES,1241,12,0.31267,21.7822,0.278167,1.0,36.1025,-4.6749,,False,False,True,0.011201657908898125,0.0084995940226314,0.009519085623296201,-0.0010194916006648017,0.012392945584878832,-0.018687664287629108,0.32500000000000007,0.002702063886266726,0.001923538638417639,493,1.0,False,0.9715617715617716,0.08154279099088142
1283878,DES,1243,12,0.31296,21.7665,0.2017,1.0,37.1332,-4.0413,,False,False,True,0.0042658371140584465,0.0015584711425783507,-0.0006062426244246167,0.0021647137670029676,0.004852650063922241,-0.003374399636195572,0.32500000000000007,0.002707365971480096,0.0019262024146527786,493,1.0,False,0.4583145561063542,0.06353587060669681
1341894,DES,1244,12,0.31303,21.7531,0.174721,1.0,35.3025,-4.6502,,False,False,True,0.009488891110872652,0.006780245325720364,0.006982275411020259,-0.00020203008529989547,0.010725578570687042,-0.014884148748378685,0.32500000000000007,0.0027086457851522886,0.0019268453951233292,493,1.0,False,0.9549514563106796,0.0495793242716482
100163,PS1MD,1252,12,0.31782,21.8208,0.194052,1.0,35.4423,-5.1516,,False,False,True,0.001496144552609372,-0.0013000770538258168,-0.0005246537012726384,-0.0007754233525531784,0.004757483561416348,0.002857513527328696,0.32500000000000007,0.0027962216064351887,0.0019708436301795946,493,1.0,False,0.98227969348659,0.07946672158052777
1345553,DES,1253,12,0.31804,21.8242,0.165019,1.0,35.3447,-4.668,,False,False,True,0.00256995009566284,-0.00023029378231352593,-2.0606427849505443e-05,-0.00020968735446402049,0.0030613712587836666,0.0005423378829954905,0.32500000000000007,0.002800243877976366,0.001972864425944183,493,1.0,False,0.9492667459373761,0.08114272856467238
310188,PS1MD,1256,12,0.31901,21.888,0.17561,1.0,35.2776,-4.5196,,False,False,True,0.007694253471168033,0.004876275032305567,0.0036204799740047642,0.001255795058300804,0.011276909525576702,-0.010724749247185035,0.32500000000000007,0.0028179784388624655,0.0019817742981789593,493,1.0,False,0.9726882559500585,0.13735463006698095
440509,PS1MD,1257,12,0.31901,21.6411,0.20208,1.0,34.8496,-5.4304,,False,False,True,0.000645525159099706,-0.0021724532797627594,-0.0011530360830049697,-0.0010194171967577894,0.0020809680956039964,0.004773454208064069,0.32500000000000007,0.0028179784388624655,0.0019817742981789593,493,1.0,False,0.9904378459989934,-0.10954536993301915
330128,PS1MD,1259,12,0.32104,21.7016,0.154025,1.0,36.8228,-3.8213,,False,False,True,0.002490585526293619,-0.00036450750906243416,0.00019449636302303693,-0.0005590038720854715,0.0007261688869180284,0.0008461060303389589,0.32500000000000007,0.002855093035356053,0.002000420731824934,493,1.0,False,0.0012903225806451613,-0.06485671891416005
