CID,zHD,rvar_gal_cl,rvar_gal_tot,rvar_cl_cl,rvar_cl_tot,var_zp
160099,0.10165,8.394960501632488e-08,2.408844214758836e-06,0.0,0.0,1.410519867394445e-10
500057,0.38061,3.946417102208893e-08,2.122029674084466e-07,2.131057549298328e-11,3.269862658216869e-11,2.4884259183126402e-08
050251,0.38781,4.0117409034274397e-08,5.97349546622142e-07,1.2502065861847387e-10,6.551759225332683e-11,2.6137605760609135e-08
040166,0.44013,1.1876883370808713e-07,2.3406738599094563e-06,5.041682529129031e-10,4.24536964098545e-10,3.5903349579817666e-08
000190,0.10221,2.694858240861418e-11,2.1853541887723947e-10,2.348196847239713e-13,1.114018511840238e-13,3.1220696017312255e-10
120225,0.10713,1.0610796758476406e-08,3.5163728656807614e-08,7.892502052167854e-16,1.0018615859907278e-15,3.1220696017312255e-10
500038,0.10794,1.7126821636099803e-06,2.128393595548785e-06,6.346509004254378e-14,2.5528958388819892e-14,3.1220696017312255e-10
120336,0.16122,7.07977571520751e-08,7.544549520406124e-08,1.6001909175640472e-07,1.5628763149610464e-07,1.0996637998603259e-09
350233,0.16924,6.191003419736256e-09,7.517495713027634e-09,2.464937207004534e-11,1.54742089400357e-11,1.3389338571510426e-09
370563,0.18527,3.0657448588644927e-10,1.99234080270819e-09,9.142835095195416e-09,2.6810963538347485e-08,1.869905493194926e-09
000220,0.21972,2.091332181095353e-09,1.9279945111961176e-08,8.161001433639293e-09,4.394400255278438e-09,3.281972045961627e-09
370098,0.22132,1.2537757575771563e-10,5.567300248561146e-10,4.3465502612079534e-10,1.4638555805277502e-09,3.357142898226586e-09
480464,0.22132,3.293333844408086e-08,5.2996801921163955e-08,8.890841892045597e-08,1.3366787678801286e-07,3.357142898226586e-09
030066,0.22542,1.044422584672774e-06,1.8028191558983105e-06,5.2552861313291586e-08,7.359857518804915e-08,3.5656554224534733e-09
000010,0.24585,7.46359539352117e-10,3.3548899413262823e-09,2.683485469586243e-06,6.957663162105137e-06,5.3196002688925585e-09
350192,0.30142,8.777285246399088e-09,6.486592388534743e-08,5.273119229933793e-09,8.658583515701856e-09,1.083235084868745e-08
000420,0.31144,3.944364792496812e-09,9.568101042642877e-09,1.8691300219373778e-07,1.113036863649094e-07,1.1823229390393728e-08
120085,0.32206,5.498816920295623e-07,1.3908025808443094e-06,1.2267856600118774e-09,1.9621963744165442e-09,1.2920772604551727e-08
05D2ab,0.32446,5.107118048024796e-07,1.5618536259513337e-06,5.653082586728801e-09,4.687023681103327e-09,1.3175552273422892e-08
120369,0.33047,2.588740412024766e-09,1.6298200184631615e-08,8.684071094294325e-09,8.341158473474228e-09,1.3814112390513069e-08
580235,0.33147,5.349454597369254e-06,1.1601735805800408e-05,6.762562612770874e-08,7.477221453917059e-08,1.3921657359806064e-08
370344,0.33147,9.818872150802718e-10,2.7022594587998218e-08,4.8100657452034864e-08,7.66263536265164e-08,1.3921657359806064e-08
380318,0.33818,1.154321020718907e-09,4.546153767231265e-09,4.521389670265382e-09,2.04979534092233e-09,1.4654070801552278e-08
380279,0.34939,3.2265504145301124e-08,2.284877880639427e-07,2.4454599787259697e-07,1.886929731249875e-07,1.591955528795515e-08
04D2mc,0.34949,4.496616860445379e-09,5.6852881513530716e-08,4.414835060400565e-07,2.0730941032048066e-07,1.5931079993733456e-08
05D2ie,0.34949,6.653069748229179e-07,1.416286863855684e-06,2.314847585547777e-08,4.8046420540208133e-08,1.5931079993733456e-08
000196,0.35059,8.567217079172479e-09,4.115438355824146e-08,4.2972549836551135e-09,6.824857882584001e-09,1.60581269808201e-08
05D2hc,0.35149,3.641012332927826e-07,2.308853510254748e-06,5.036823275756004e-08,2.9358333084171703e-08,1.6162449820509672e-08
120400,0.35149,1.8804783449276755e-09,3.178702547247812e-09,3.243859016606485e-09,9.755242564459604e-09,1.6162449820509672e-08
05D2mp,0.35519,4.317462878161544e-08,1.5819403958449729e-07,1.059848364749892e-09,6.700824091255373e-10,1.6594881321277703e-08
04D2fs,0.3585,1.2210727912319565e-10,5.055644979538985e-10,1.365439744856613e-07,1.509700136436842e-07,1.6986570112615704e-08
04D2cf,0.37052,2.191679023364102e-07,7.231577570699074e-07,2.8602218673450515e-08,1.8370652784047e-08,1.844737667701295e-08
000199,0.37153,2.531666102843205e-07,1.6350992105003395e-06,1.8475204798817563e-08,2.1870865685431483e-08,1.8572867276087313e-08
590031,0.37852,5.795076156906872e-07,9.303351535436984e-07,4.56524793307373e-08,4.7961366733223754e-08,1.9603936232421805e-08
000011,0.38153,5.1173274473263776e-08,1.5075371300723934e-07,1.3806647010641737e-06,2.306744788403698e-06,2.0121485406870285e-08
120086,0.39255,6.013619388863136e-08,1.8529493427918165e-07,3.0960037554350974e-09,1.7779171252107463e-09,2.207383463680535e-08
04D2fp,0.41657,1.7398140092144267e-08,8.000813361068643e-08,1.3018881027241965e-08,2.4294971273831035e-08,2.66425221442491e-08
05D2dw,0.41857,6.079095384660544e-08,4.00187054277734e-07,9.256875151331785e-10,1.6953113022771414e-09,2.7042294541273422e-08
05D2cb,0.42859,2.6130395147371004e-08,2.015083425328675e-07,2.1301215207207624e-08,2.7867308091262876e-08,2.9187341457622253e-08
06D2gb,0.44361,8.523886684974202e-07,2.4597287816991283e-06,5.386770583981385e-09,2.6767320787006662e-09,3.2833002859805973e-08
04D2gb,0.45162,5.610444312299832e-06,4.990312151711675e-06,7.668834002673898e-07,1.3454341972071378e-06,3.4864883925383264e-08
120094,0.45162,5.166155451070561e-08,8.077004428182287e-08,7.01080279215501e-08,8.114933076070519e-08,3.4864883925383264e-08
000215,0.46654,8.80937795270802e-08,5.795409872385335e-07,1.829899619542523e-08,1.4641347264892916e-08,3.8812239886441556e-08
370367,0.47163,7.161058045577227e-07,1.031594372452525e-06,5.723975461767586e-09,6.5608755126472665e-09,4.020730751021091e-08
05D2bv,0.47565,6.206490425035761e-07,4.6318492039934105e-06,3.2307068663458224e-08,7.340347018172639e-08,4.1338979144469444e-08
05D2ac,0.48065,8.43615147567918e-08,1.7333458930886275e-06,3.973380548877605e-09,5.3083304051850854e-09,4.285022364145671e-08
120044,0.48164,2.249455330622494e-07,6.006758300729056e-07,9.514249696788735e-06,1.0950002728188969e-05,4.315266771125183e-08
06D2bk,0.50067,6.188977498510095e-08,6.545395052884048e-07,4.521791448096921e-09,6.646533761509503e-09,4.9173034077526726e-08
05D2dy,0.51169,2.1461163443939867e-07,8.951961896784585e-07,6.354329245926575e-08,3.036515233358397e-08,5.2839023687476436e-08
04D2mj,0.51469,1.95513925861071e-07,9.6748121312056e-07,3.265081237257871e-07,7.277555524646148e-07,5.385984615346753e-08
04D2gc,0.52271,1.5435245934223476e-08,6.938250206313397e-08,8.741885102479674e-09,1.0536025285692746e-08,5.6636799892478507e-08
06D2ca,0.53271,1.1820028273966913e-07,1.1761468946543862e-06,1.2785881772070629e-08,1.3358261067211796e-08,5.9108619123623305e-08
06D2cc,0.53372,8.771585030766792e-09,4.5153864189506494e-08,2.8752793580812428e-05,7.030726294813515e-05,5.932863888443427e-08
05D2eb,0.53572,4.203021573037319e-09,3.6034428879871066e-08,0.0005363929973941,0.0010506765518317,5.976552761200585e-08
