CID,row_index,sample,HOST_RA,HOST_DEC,zHD,MU,MUERR,HOST_LOGMASS,PROBIA,clipped,is_calibrator,cluster_targeted
1994DRichmond,4,LOWZ/JRK07,188.51,7.7016,0.00299,11.5227,0.880798,,1.0,False,False,False
1980N,21,LOWZ/JRK07,50.7513,-37.2139,0.00482,11.9946,0.557951,,1.0,False,False,False
2007on,23,CSP,54.7125,-35.5753,0.00483,12.3995,0.564078,,1.0,False,False,False
1992A,25,LOWZ/JRK07,54.1142,-34.9587,0.00483,12.087,0.561941,,1.0,False,False,False
2007on,26,SOUSA,54.7125,-35.5753,0.00483,12.5105,0.573808,,1.0,False,False,False
2011B,29,SOUSA,133.952,78.2174,0.00538,12.3982,0.513692,,1.0,False,False,False
2018aoz,30,LOSS1,177.758,-28.7441,0.00548,12.4752,0.500704,,1.0,False,False,False
2016coj,31,LOSS1,182.028,65.1772,0.0057,12.6587,0.468851,,1.0,False,False,False
SN2016coj,32,FOUND,182.028,65.1772,0.0057,12.6455,0.482914,,1.0,False,False,False
2007gi,35,LOWZ/JRK07,180.348,61.8927,0.00587,12.4873,0.490624,,1.0,False,False,False
2015bp,37,SOUSA,226.375,1.634,0.00592,13.2155,0.486307,,1.0,False,False,False
1981D,41,LOWZ/JRK07,50.6599,-37.2327,0.00616,11.6549,0.524297,,1.0,False,False,False
2006dd,42,LOWZ/JRK07,50.6734,-37.2036,0.00616,11.9327,0.451429,,1.0,False,False,False
2007le,47,LOSS2,354.702,-6.5226,0.0063,12.8224,0.533308,,1.0,False,False,False
2007le,48,CSP,354.702,-6.5226,0.0063,12.8313,0.536656,,1.0,False,False,False
2007le,49,CFA4p2,354.702,-6.5226,0.0063,12.7673,0.537482,,1.0,False,False,False
1998dm,50,LOSS2,21.5582,-6.1039,0.00631,13.5803,0.562254,,1.0,False,False,False
2014bv,51,SOUSA,186.129,75.5357,0.00634,13.1471,0.481811,,1.0,False,False,False
1997br,54,CFA2,200.177,-22.0367,0.00665,12.4791,0.530482,,1.0,False,False,False
2011iv,55,CSP,54.714,-35.5922,0.00668,11.9687,0.419839,,1.0,False,False,False
1996X,57,CFA1,199.505,-26.8459,0.00676,12.7203,0.414586,,1.0,False,False,False
1992G,61,LOWZ/JRK07,159.077,37.3212,0.00692,13.1875,0.438804,,1.0,False,False,False
2008Q,70,LOSS2,21.2385,9.5504,0.0075,13.0782,0.372866,,1.0,False,False,False
2008Q,71,SOUSA,21.2385,9.5504,0.0075,13.0468,0.395732,,1.0,False,False,False
2003kf,72,CFA3S,91.1476,-12.6286,0.00795,13.3888,0.361712,,1.0,False,False,False
2012hr,75,SOUSA,95.4103,-59.7141,0.00814,13.4562,0.366561,,1.0,False,False,False
1996Z,79,CFA1,144.187,-21.1476,0.00817,13.1925,0.490044,,1.0,False,False,False
1995D,80,CFA1,145.228,5.1406,0.00818,13.231,0.341596,,1.0,False,False,False
1991M,81,LOWZ/JRK07,239.645,17.458,0.00821,13.9608,0.462045,,1.0,False,False,False
2013gh,82,LOSS1,330.591,-18.9168,0.00838,13.268,0.464828,,1.0,False,False,False
2013gh,83,SOUSA,330.591,-18.9168,0.00838,13.4392,0.484113,,1.0,False,False,False
PSNJ0717457,87,FOUND,109.44,23.3446,0.00861,13.4693,0.382481,,1.0,False,False,False
2005am,88,LOSS2,139.052,-16.3044,0.00863,13.1214,0.337245,,1.0,False,False,False
2005am,89,CSP,139.052,-16.3044,0.00863,13.1415,0.330194,,1.0,False,False,False
2005am,90,CFA3K,139.052,-16.3044,0.00863,13.082,0.336798,,1.0,False,False,False
2019ein,92,LOWZ/JRK07,208.371,40.2754,0.00883,13.6086,0.325919,,1.0,False,False,False
2002er,93,LOSS2,257.875,7.9958,0.00906,13.546,0.36787,,1.0,False,False,False
2002er,94,LOWZ/JRK07,257.875,7.9958,0.00906,13.4968,0.408634,,1.0,False,False,False
2013cs,98,SOUSA,198.812,-17.9654,0.00935,13.0823,0.400458,,1.0,False,False,False
