region,ra,dec,radius_deg,n_sn,z_max,process
0,214.3966048935321,54.01434093029024,0.23155955394086974,4,0.44013,True
1,150.08322302865446,2.3148990887399927,1.416699909709281,69,1.5429,True
2,183.56127370929073,46.85583159794754,0.3756938393979025,3,0.29298,True
3,53.53801173439285,-28.117933675604657,2.1156037207845295,95,1.54901,True
4,351.0,-9.000000000000004,1.4220878248312456e-14,312,0.37991,True
5,186.33599999999998,46.01520000000001,1.8780427516135685e-14,1,0.11001,False
6,161.18412982492512,58.02670367122179,0.21601639233605102,3,0.40483,True
7,131.72855902797986,44.708704866084624,0.7881320678428317,11,0.50098,True
8,242.53609298361107,54.53301460561899,1.1142230264435609,19,0.57619,True
9,353.1040922324295,-0.2850220851265252,0.8297683032097386,11,0.50825,True
10,185.2372152438503,46.818493981567116,0.16715337238541603,2,0.45106,True
11,41.64794929496324,-0.810497671719787,1.9059774850169469,39,0.63794,True
12,35.96903911365486,-4.799661178410495,2.2899547379379723,124,1.31317,True
13,334.1231241176894,0.04647716054917186,0.9936620598520955,8,0.41939,True
14,333.8190047610789,-0.9378031281101471,0.1859485525131926,2,0.26859,True
15,8.576730762305143,-44.105149549902116,0.8372708040206535,9,0.44149,True
16,33.81950452877762,-4.614653910058525,0.4411030684333789,4,0.64311,True
17,129.951195648129,44.04994237525133,1.1878888917829724,17,0.57831,True
18,212.66977977041395,53.59101298373927,0.6496350877628576,7,0.52859,True
19,151.018,1.2155,0.0,1,0.17124,False
20,131.5724527747886,43.39718439398354,0.18598656652638126,2,0.20087,True
21,163.67553678580205,58.82280016329873,0.1962288525367365,2,0.19877,True
22,184.4762001952759,47.841928447500784,0.5112674838658365,6,0.33498,True
23,351.142,0.22700000000000004,0.0,1,0.17911,False
24,333.770491592662,1.2289543278601385,0.36807872093053967,4,0.31453,True
25,128.94344012976552,44.63896370316326,0.28286929057699806,3,0.51095,True
26,150.498,1.3251,0.0,1,0.18126,False
27,7.693848778533927,-42.39028483498848,0.4382473141381054,6,0.60876,True
28,149.75100164068343,0.8474554766156267,0.2082749034678458,2,0.42348,True
29,35.02387999618931,-3.8174415712047503,0.31242775452613153,3,0.4302,True
30,334.494,-0.6969,0.0,1,0.20868,True
31,162.49590301581912,57.51353887554382,0.7444737541169405,7,0.38185,True
32,52.74485855202782,-26.428953506224445,0.04210064819120471,2,0.22449,True
33,334.62950505075025,1.1712523734883913,0.34108606739695224,4,0.4114,True
34,185.9492628413407,47.782662293078374,0.4606473041859557,5,0.50306,True
35,351.4197097001271,-0.7141218519890143,0.46392089738384557,7,0.42036,True
36,9.87213647816063,-43.85916178092285,0.616803170399695,11,0.56437,True
37,244.6367527334624,55.49046906525244,0.4796671113728498,7,0.51016,True
38,243.39804902701795,55.768164063336634,0.31852602293478205,3,0.35099,True
39,214.92965582011965,52.70618899966922,0.9758731461190849,48,0.76674,True
40,213.00707078605961,51.8728510849982,0.19919509465111962,2,0.45068,True
41,186.42731355720818,46.70116290208159,0.15247239465042892,2,0.53111,True
42,43.33875025249492,0.5338503504197288,0.06977729287707336,2,0.32118,True
43,352.4360000907183,0.647950006315521,0.0580042609979171,2,0.36623,True
44,351.908,-1.7625000000000002,3.975693351829396e-16,1,0.28854,True
45,36.5343,-6.76,0.0,1,0.28907,True
46,162.41237355235893,58.732663800854034,0.27087219104811877,3,0.50285,True
47,352.676,-1.556,0.0,1,0.30652,True
48,42.2701,0.5823,0.0,1,0.32632,True
49,241.43699999999998,56.074400000000004,2.910551663423496e-14,1,0.32842,True
50,163.283,57.2013,0.0,1,0.36034,True
51,333.00449846093204,0.9686008859112013,0.10263440400626207,2,0.38744,True
52,333.8924734864545,-17.782307559629473,0.6938329875938298,44,0.78907,True
53,7.136337785526293,-43.25933411679064,0.450676243910182,7,0.57737,True
54,8.4681,-42.0948,0.0,1,0.42195,True
55,214.033,51.7321,0.0,1,0.44067,True
56,151.309,1.7006999999999999,1.987846675914698e-16,1,0.47786,True
57,184.13799999999998,45.962,1.7687326708842793e-14,1,0.54545,True
58,189.2344566690774,62.21350648540116,0.10175896106948563,11,1.39103,True
59,356.373,-36.546,0.0,1,1.04817,True
60,218.62599999999998,34.4492,2.0982196987746767e-14,1,1.23225,True
61,217.32799999999997,34.643699999999995,2.1878373687939554e-14,1,1.35136,True
62,219.535,34.2384,0.0,1,1.41633,True
