CID,zHD,rvar_gal_cl,rvar_gal_tot,rvar_cl_cl,rvar_cl_tot,var_zp
2001gn,1.124,2.365250329727829e-06,4.554072166507012e-06,3.2581218462137895e-06,2.5010564774362864e-06,1.561892962029488e-06
2001go,0.552,6.423223875426552e-08,1.6264682143517384e-07,2.4544788170875625e-05,1.9903512638484186e-05,3.048481837325449e-07
2001gq,0.671,4.3288037660071067e-07,5.244416408537939e-07,9.8624487187047e-07,6.073915798497311e-07,4.6249371430479203e-07
SN2000fr,0.5443745802427791,1.2121299504645948e-06,3.206014621849397e-06,1.7808878549188168e-05,3.386386987770226e-05,2.906745830720748e-07
2001gy,0.511,1.247935597279777e-06,2.518261972588871e-06,6.850931174058746e-07,1.1581781303296735e-06,1.0239545088540603e-07
2001hb,1.03,5.269626206579737e-05,6.887904657590842e-05,1.776686262897115e-07,2.7184921113449325e-07,4.316213236041669e-07
01248677,0.3501922445086136,7.841562782737968e-11,2.624198397536309e-10,3.1439468940005366e-08,1.2487668192142166e-08,1.2789107790372644e-08
01262214,0.6893664114401092,3.372946469839679e-07,1.2857524210722332e-06,7.390957875949413e-09,7.692135594630554e-09,8.41212941989278e-08
01262715,0.6893601579787407,4.291439067436005e-07,1.2298101745809114e-06,2.7415544452663124e-05,3.0933764291766855e-05,8.411905776064274e-08
01285160,0.7493108646697713,1.0634544532089732e-07,9.065823510540438e-07,8.691467832453884e-08,1.3419167237053217e-07,1.042387294787989e-07
01289600,0.419624763151611,5.025754080878112e-06,1.1362776343403188e-05,2.664569686532248e-07,2.479591804112881e-07,2.1665559105827895e-08
01292195,0.8292951102052186,2.5545277304024057e-08,1.4781739807252982e-06,4.854922837534482e-07,1.4496447686099613e-07,1.388746937571325e-07
01297465,0.2778763574849618,1.7504319955130123e-09,2.285715872092338e-09,1.7611787854194548e-10,1.9086442135362122e-10,6.656821178978322e-09
01300912,0.3376548014842233,3.403679172640287e-09,1.6428670446073082e-08,1.8433483035302982e-09,3.627801360649226e-09,1.1229310052378468e-08
01302187,0.2195023859032221,1.505374030893151e-09,3.130550792761384e-08,7.984416755864992e-11,1.3523708536057346e-10,2.312718314599511e-09
01304442,0.2171112217176234,2.807800886238166e-08,1.5416951064842178e-07,3.991816511003243e-11,2.5159828275124855e-11,2.2307211839984027e-09
