CID,sample,HOST_RA,HOST_DEC,zHD,HOST_LOGMASS,MU,MUERR,PROBIA,clipped,cluster_targeted
2001gn,Amanullah10,210.50124999999997,5.081638888888889,1.124,9.88,44.448737294709474,0.19308001354470328,1.0,False,False
2001go,Amanullah10,210.50666666666663,5.014,0.552,9.88,42.481887398578294,0.11218097457638339,1.0,False,False
2001gq,Amanullah10,210.46333333333334,4.886416666666666,0.671,9.88,42.86201997637951,0.12958184685874435,1.0,False,False
2001gy,Amanullah10,209.26916666666665,4.516777777777778,0.511,9.88,42.39104442922806,0.11120995614814015,1.0,False,False
2001hb,Amanullah10,209.29999999999998,4.340888888888888,1.03,9.88,44.128791973398755,0.12958136926768998,1.0,False,False
ASASSN-15aj,CNIa02,163.221917,-32.926333,0.012062873601548896,11.0,33.34315919646925,0.30745093364893383,1.0,False,False
ASASSN-15ak,CNIa02,3.00657,26.39368,0.013897675214821659,11.0,33.68882309958974,0.3122977547791718,1.0,False,False
ASASSN-15eb,CNIa02,121.53083,-22.56357,0.017334399350080076,11.0,34.64572983638697,0.2876415940056647,1.0,False,False
ASASSN-15kp,CNIa02,194.67402,-32.12389,0.018379714746157516,11.0,34.46032210302982,0.2799473225909562,1.0,False,False
ASASSN-15lp,CNIa02,27.293,5.63981,0.016161541563478155,11.0,34.368373909215315,0.29387854300548244,1.0,False,False
ASASSN-15ml,CNIa02,300.75696,-21.9134,0.01789245027503239,11.0,34.7139702314985,0.3014360325380117,1.0,False,False
ASASSN-15ol,CNIa02,28.52517,-56.69513,0.019859216325528006,11.0,34.61870279626991,0.2916861831182714,1.0,False,False
ASASSN-15pz,CNIa02,47.20185,-35.2308,0.014460247564238138,11.0,33.7003209366033,0.28961953434296106,1.0,False,False
ASASSN-15qc,CNIa02,9.82492,3.95004,0.0164845654601522,11.0,34.419770949233936,0.2743037521114229,1.0,False,False
ASASSN-15rq,CNIa02,2.01308,-36.56439,0.024111670516858252,11.0,34.67670810638902,0.25834442320093437,1.0,False,False
PSN_J21312375+4336312,CNIa02,322.8489583,43.60866667,0.017334353664156366,11.0,34.79447949141727,0.28692852954318165,1.0,False,False
PSN_J21505094-7020289,CNIa02,327.71225,-70.34136111,0.012086311263068694,11.0,33.64030320835419,0.30703656838555327,1.0,False,False
SN2015bd,CNIa02,170.941167,-1.105889,0.02002291169101378,11.0,34.15468350108245,0.26882816556026756,1.0,False,False
SN2016adi,CNIa02,206.929583,-30.932506,0.01581454298405105,11.0,34.34071430859055,0.27938313714388957,1.0,False,False
SN2016adn,CNIa02,47.64375,4.269667,0.022317806302282417,11.0,35.10954089521777,0.25962906654586726,1.0,False,False
SN2016cdb,CNIa02,335.372167,-22.262792,0.022826388749201953,11.0,34.83957888610346,0.28230768710227083,1.0,False,False
SN2016cqz,CNIa02,277.0435,-71.69411,0.011728663345051071,11.0,33.534359328637365,0.31657967740763354,1.0,False,False
SN2016daj,CNIa02,31.15625,21.585681,0.029472353949812735,11.0,35.6536650289736,0.25327107961961604,1.0,False,False
SN2016ekg,CNIa02,330.015333,-30.184261,0.01617208978904139,11.0,34.32646742394924,0.2761557663393381,1.0,False,False
SN2016ekt,CNIa02,328.3665,-34.40601,0.011122138157608985,11.0,33.87186659145745,0.3166525461017338,1.0,False,False
SN2016fej,CNIa02,310.166125,-54.310067,0.010462449383376038,11.0,33.20744401795522,0.3249781770280688,1.0,False,False
SN2016fnr,CNIa02,249.411667,72.3735,0.014254235785227332,11.0,33.9356184455521,0.2965778174817439,1.0,False,False
SN2016gtr,CNIa02,292.25213,-51.97104,0.01578896325285606,11.0,34.87437462291573,0.2806569930995018,1.0,False,False
SN2016gxp,CNIa02,3.644375,48.25225,0.016930141383220132,11.0,33.42959357762398,0.2764574120095449,1.0,False,False
SN2016hht,CNIa02,156.022167,16.741019,0.01971134156030918,11.0,34.739245961102284,0.26597401286879124,1.0,False,False
SN2016hsc,CNIa02,98.1048333,-71.5677778,0.014780201376067836,11.0,34.12689549164656,0.28950358067687093,1.0,False,False
SN2016huh,CNIa02,134.271417,-20.035039,0.019586628050201504,11.0,34.981535558671865,0.26847097462603847,1.0,False,False
SN2016igr,CNIa02,15.861208,-4.877611,0.01664786853639111,11.0,34.59897876653741,0.2733734119886601,1.0,False,False
SN2016iil,CNIa02,53.3885833,-62.5540833,0.02879467413892267,11.0,35.64533885080333,0.25435094560339916,1.0,False,False
SN2016ins,CNIa02,121.86425,25.12915,0.02141575717172861,11.0,35.22002239792264,0.26280131304572596,1.0,False,False
SN2016ito,CNIa02,187.7875,-35.930489,0.02096230062955251,11.0,34.931506014573415,0.2656864519326869,1.0,False,False
SN2016iuh,CNIa02,184.881083,49.817833,0.014305277901124347,11.0,34.10051178505977,0.2919132856104045,1.0,False,False
SN2017atv,CNIa02,50.997792,37.758514,0.01793652029641657,11.0,34.6660968428627,0.27519775549942277,1.0,False,False
SN2017cbr,CNIa02,179.695125,15.719278,0.018419044076219082,11.0,34.50530610303158,0.2699159565032952,1.0,False,False
SN2017cjr,CNIa02,190.711542,-30.412125,0.01542572262473918,11.0,34.10124409953102,0.2807359473713066,1.0,False,False
SN2017cts,CNIa02,255.799,61.457239,0.019591977028976526,11.0,34.840697792120274,0.2668307930657688,1.0,False,False
SN2017cyy,CNIa02,144.15125,-63.948522,0.010418303883608093,11.0,33.46802072283537,0.3373548857119472,1.0,False,False
